code,id,level,name,description,path
16491,LRzzo5quJYj,4,Afya Bora Medical Clinic CFW Clinic Gichugu,Facility,/CLmPcJmOc90/sCn0duT9QVP/hFM5Z0psDEo/LRzzo5quJYj
11200,NsGJpvQ049z,4,Afya Bora Medical Clinic Magarini,Facility,/CLmPcJmOc90/CtmrXMoMKSA/ZggpMHKH6Ze/NsGJpvQ049z
21165,dCrXfLnfmRZ,4,Afya Bora Medical Clinic Mirangine,Facility,/CLmPcJmOc90/NgMqkVjFIKY/vsnuAEijcMq/dCrXfLnfmRZ
10007,XqcWEIgheh5,4,Afya Bora Medical Clinic Muchagara,Facility,/CLmPcJmOc90/sCn0duT9QVP/hFM5Z0psDEo/XqcWEIgheh5
10008,KrDAYNuwp4Z,4,Afya Bora Medical Clinic Nyeri South,Facility,/CLmPcJmOc90/i7hqxf9ShvM/GCXmB3DzpKr/KrDAYNuwp4Z
14186,pO2TnzV71hL,4,Afya Bora Medical Clinic Turkana Central,Facility,/CLmPcJmOc90/QjcUFIryWmH/day7xZcUpRb/pO2TnzV71hL
24741,gXRrnAOeoap,4,Afya Diabetic Support Centre,Facility,/CLmPcJmOc90/JVu73wvtLRy/Qkd6m6jLdhD/gXRrnAOeoap
14187,wxftI0VBdou,4,Afya Frank Medical Clinic,Facility,/CLmPcJmOc90/N7YLmjBdnTj/ukbFoVU66iD/wxftI0VBdou
18486,nto56UufBDu,4,Afya Health Care,Facility,/CLmPcJmOc90/N4pRUs2e6nC/Zge9Si2OJHc/nto56UufBDu
23278,RwkrezunCHb,4,Afya Health Essentials Kangari,Facility,/CLmPcJmOc90/xtHuM0oS6KO/JOoFtKjDGv8/RwkrezunCHb
10009,BmxcOe8RYLP,4,Afya Health Services,Facility,/CLmPcJmOc90/i7hqxf9ShvM/GCXmB3DzpKr/BmxcOe8RYLP
20380,fczTGPx0zBi,4,Afya Health System Hospital,Facility,/CLmPcJmOc90/ZvksxUQ3Rnc/KeCzBLRhXVy/fczTGPx0zBi
18344,qKETkpOChDi,4,Afya House Dispensary,Facility,/CLmPcJmOc90/N4pRUs2e6nC/vrvHKMOXRpN/qKETkpOChDi
21925,DogOSwVFI73,4,Afya International Hospital,Facility,/CLmPcJmOc90/CtmrXMoMKSA/ZggpMHKH6Ze/DogOSwVFI73
10015,ThSV9riTAsk,4,Afya Juja Clinic,Facility,/CLmPcJmOc90/JVu73wvtLRy/f6aqGDHvxdG/ThSV9riTAsk
24539,eaNMLT4JMj1,4,Afya Kabel Medical Clinic,Facility,/CLmPcJmOc90/c0jA5INU9JM/uSAwNWcthRe/eaNMLT4JMj1
27090,pzOlqhrwOle,4,Afya Kamili Medical centre,Facility,/CLmPcJmOc90/N7YLmjBdnTj/J6eMVXbvPJw/pzOlqhrwOle
22558,Gu2QAjbE85s,4,Afya Kimbilio Medical Clinic,Facility,/CLmPcJmOc90/DDLOpuTc53A/mmZWr8YRkmI/Gu2QAjbE85s
22887,i8EffQ0tgyS,4,Afya Link Medical Centre,Facility,/CLmPcJmOc90/sCn0duT9QVP/UDyl8FJw3yZ/i8EffQ0tgyS
22539,djI0r5Hj9Ct,4,Afya Mashinani Medical Centre Gachami,Facility,/CLmPcJmOc90/i7hqxf9ShvM/Vq7jwqQTimA/djI0r5Hj9Ct
18845,hXrbN5aXlhQ,4,Afya Medical Centre,Facility,/CLmPcJmOc90/dmDogAeDBUk/q67BVOnet4Y/hXrbN5aXlhQ
16556,AfFCgSH9nG8,4,Afya Medical clinic,Facility,/CLmPcJmOc90/FMHWPDvWvXw/XzoG6Bcv7wW/AfFCgSH9nG8
22881,TEP6mxEs9Z0,4,Afya Medical Clinic,Facility,/CLmPcJmOc90/DDLOpuTc53A/uFtpC3YK575/TEP6mxEs9Z0
19802,ck0yQQCYQJD,4,Afya Medical Clinic,Facility,/CLmPcJmOc90/NgMqkVjFIKY/qOO5WEn2rZy/ck0yQQCYQJD
13270,YJUTddZ1VlH,4,Afya Medical Clinic and Nursing Home Wajir East,Facility,/CLmPcJmOc90/xKAATm8Pwru/eRRbiQeIBRG/YJUTddZ1VlH
13269,BftMTvH8AgT,4,Afya Medical Clinic Garissa,Facility,/CLmPcJmOc90/bSpKE38mB85/xTwak4MXreJ/BftMTvH8AgT
10006,m1XvTVKzU9x,4,Afya Medical Clinic Kirinyaga,Facility,/CLmPcJmOc90/sCn0duT9QVP/UDyl8FJw3yZ/m1XvTVKzU9x
20265,VtVSFWW5HYJ,4,Afya Medical Clinic Mbaruk,Facility,/CLmPcJmOc90/DDLOpuTc53A/mmZWr8YRkmI/VtVSFWW5HYJ
